omp_num_threads,graph,order,size,time,iterations,error,technique
"32","great-britain_osm","7733822","16313034","641.343","66","0","pagerankUniform"
"32","great-britain_osm","7733822","16313034","1119.731","66","0","pagerankHybrid"
"48","great-britain_osm","7733822","16313034","619.666","66","0","pagerankUniform"
"48","great-britain_osm","7733822","16313034","1054.278","66","0","pagerankHybrid"
"2","germany_osm","11548845","24738362","6532.727","64","0","pagerankUniform"
"2","germany_osm","11548845","24738362","6900.425","64","0","pagerankHybrid"
"4","germany_osm","11548845","24738362","3455.949","64","0","pagerankUniform"
"4","germany_osm","11548845","24738362","4052.994","64","0","pagerankHybrid"
"8","germany_osm","11548845","24738362","1829.23","64","0","pagerankUniform"
"8","germany_osm","11548845","24738362","2560.363","64","0","pagerankHybrid"
"16","germany_osm","11548845","24738362","1065.077","64","0","pagerankUniform"
"16","germany_osm","11548845","24738362","1820.343","64","0","pagerankHybrid"
"28","germany_osm","11548845","24738362","1053.331","64","0","pagerankUniform"
"28","germany_osm","11548845","24738362","1780.2","64","0","pagerankHybrid"
"32","germany_osm","11548845","24738362","967.795","64","0","pagerankUniform"
"32","germany_osm","11548845","24738362","1717.935","64","0","pagerankHybrid"
"48","germany_osm","11548845","24738362","845.922","64","0","pagerankUniform"
"48","germany_osm","11548845","24738362","1551.04","64","0","pagerankHybrid"
"2","asia_osm","11950757","25423206","4983.205","62","0","pagerankUniform"
"2","asia_osm","11950757","25423206","5368.968","62","0","pagerankHybrid"
"4","asia_osm","11950757","25423206","2581.598","62","0","pagerankUniform"
"4","asia_osm","11950757","25423206","3217.129","62","0","pagerankHybrid"
"8","asia_osm","11950757","25423206","1412.917","62","0","pagerankUniform"
"8","asia_osm","11950757","25423206","2113.974","62","0","pagerankHybrid"
"16","asia_osm","11950757","25423206","864.632","62","0","pagerankUniform"
"16","asia_osm","11950757","25423206","1558.6","62","0","pagerankHybrid"
"28","asia_osm","11950757","25423206","882","62","0","pagerankUniform"
"28","asia_osm","11950757","25423206","1573.395","62","0","pagerankHybrid"
"32","asia_osm","11950757","25423206","862.574","62","0","pagerankUniform"
"32","asia_osm","11950757","25423206","1550.023","62","0","pagerankHybrid"
"48","asia_osm","11950757","25423206","726.156","62","0","pagerankUniform"
"48","asia_osm","11950757","25423206","1473.381","62","0","pagerankHybrid"
